# GO accession	GO term name	GO domain(F:molecular_function,P:biological_process)	PSI-MI id	PSI-MI term name
GO:0005478	transporter activity	F	MI:0915	physical association
GO:0047434	indolepyruvate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047435	5-guanidino-2-oxopentanoate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047436	arylmalonate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047437	4-oxalocrotonate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050476	acetylenedicarboxylate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050545	sulfopyruvate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050546	4-hydroxyphenylpyruvate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0008683	2-oxoglutarate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0008792	arginine decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0008836	diaminopimelate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0008923	lysine decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0008948	oxaloacetate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0008949	oxalyl-CoA decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0004586	ornithine decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0004590	orotidine-5'-phosphate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0004609	phosphatidylserine decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047662	aminobenzoate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047688	aspartate 4-decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047729	carnitine decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0004633	phosphopantothenoylcysteine decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0004737	pyruvate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0004782	sulfinoalanine decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0004837	tyrosine decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0004853	uroporphyrinogen decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050695	benzoylformate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0046564	oxalate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0043722	4-hydroxyphenylacetate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0051997	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0034923	phenanthrene-4,5-dicarboxylate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0034941	pyrrole-2-carboxylate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0034947	terephthalate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0034952	malonate semialdehyde decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0010298	dihydrocamalexic acid decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0034524	2-hydroxyisophthalate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0033980	phosphonopyruvate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0033981	D-dopachrome decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0033982	3-dehydro-L-gulonate-6-phosphate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0033983	diaminobutyrate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0034782	dimethylmalonate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0034853	2,4,4-trimethyl-3-oxopentanoate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0034854	4,4-dimethyl-3-oxopentanoate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0034879	2,3,6-trihydroxyisonicotinate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0090492	N,N-Dihydroxy-L-tryptophan decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0036163	3-hexaprenyl-4-hydroxy-5-methoxybenzoic acid decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0036169	3-methoxy-4-hydroxy-5-decaprenylbenzoic acid decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0090710	phosphomevalonate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0102151	3-oxo-myristate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:1990965	cytosylglucuronate decarboxylase activity	F	MI:1140	decarboxylation reaction
